,TFIDF
royal families,0.002765538
campaign finance,0.0027650956
wants,0.0027646627
school,0.0027614913
angeles,0.0027587006
davos,0.0027496526
universities,0.0027423329
diplomatic,0.002728682
debates political,0.0027256596
commercial,0.0027223604
lawyers,0.0027167704
reports,0.002695783
lawmakers,0.0026858791
public opinion,0.0026838863
elizabeth warren,0.0026816216
colleges universities,0.002679359
number,0.0026756537
stocks bonds,0.002675479
groups,0.0026646934
local,0.0026537592
metoo movement,0.0026535192
harry,0.0026436753
cases,0.0026397714
briefing,0.0026365803
sanctions,0.0026322282
manhattan,0.0026218044
caucuses presidential,0.0026149661
canada,0.0026113028
small,0.00260989
emergency,0.002603297
efforts,0.0026019355
companies,0.0025934447
record,0.002589737
workers,0.0025887873
government impeachment,0.0025786718
private,0.0025780427
nuclear,0.002577913
scientists,0.0025755838
polls public,0.0025732447
child,0.002571981
russian,0.0025629122
privacy,0.00255945
recent,0.0025584958
decision,0.0025492746
better,0.0025442122
impeachment briefing,0.0025425877
streaming,0.0025405285
workplace,0.0025404363
severe,0.0025367013
capital,0.0025285252
boeing,0.0025280851
yourfeedhealthcare,0.0025193705
building,0.0025136615
freedom,0.002512641
computer,0.0025046547
latest,0.0025020263
candidate,0.0024903566
little,0.0024875982
bases,0.0024856327
marketing,0.0024825973
history,0.002474882
troops,0.0024701355
growing,0.0024626227
institutions,0.0024609263
rally,0.0024541968
credit,0.002451688
study,0.002450951
retirement,0.0024504468
missile,0.0024494827
shopping retail,0.0024481618
running,0.002445597
judge,0.0024290625
republicans,0.002421181
leaves,0.0024199348
budget,0.002418036
investigation,0.0024110056
syndrome,0.0024106842
books,0.002402902
region,0.0024023657
subway,0.0023991386
banking,0.002392995
second,0.0023886834
central,0.0023876103
lunar,0.002381356
secretary,0.0023757492
astronomy,0.0023713952
buildings,0.002371369
warnings,0.0023684548
transit,0.002364672
fears,0.002364659
taxes,0.0023626708
information,0.0023606322
great britain,0.0023587977
withdrawal brexit,0.0023587977
britain withdrawal,0.0023587977
prince,0.002352295
bloomberg,0.0023471513
funds,0.0023449943
australia,0.0023403626
respiratory syndrome,0.00233963
murder,0.0023392588
deadly,0.0023381722
cities,0.002336147
taking,0.0023288433
voting voters,0.0023238761
decisions,0.002321425
violence,0.0023196428
facebook,0.002319043
early,0.0023173701
areas,0.0023153687
ethnicity,0.0023140851
office,0.0023105703
weekend,0.0023081568
going,0.0023069817
giant,0.0023059596
shows,0.002305002
weather,0.0023047153
online advertising,0.0023024837
details,0.0023006105
policy,0.0022979595
victims,0.0022913397
despite,0.0022870682
criminal,0.0022820362
border,0.002275266
institutional,0.0022714012
insurance,0.002271123
students,0.002269676
fares,0.0022655404
likely,0.002259133
embargoes sanctions,0.0022583487
embargoes,0.0022583487
financial institutions,0.0022568982
banking financial,0.0022568982
weinstein,0.0022555524
minister,0.0022547133
future,0.0022515992
residents,0.002250342
began,0.0022449503
supreme,0.002223648
weeks,0.0022229108
vehicles,0.0022222144
prosecutors,0.0022190162
finances,0.0022154266
department,0.002209228
fares rates,0.0022078662
prices fares,0.0022078662
european,0.002207653
manufacturing,0.0022075938
space astronomy,0.0022073046
markets,0.0022035798
airlines flight,0.0022026808
arguments,0.002201877
childhood,0.002201672
wuhan,0.0021996147
medical,0.0021976582
senate trial,0.0021961904
experts,0.002195392
known,0.0021893336
thousands,0.0021883894
antisemitism,0.002187593
takes,0.0021872222
associates,0.0021857426
spread,0.0021787924
peace,0.002172991
embassies,0.0021634398
claims,0.0021500983
queens,0.0021470843
medicine,0.002140494
sales,0.0021369965
earthquakes,0.0021335897
international airlines,0.0021307347
ukraine international,0.0021307347
program,0.0021295438
mayor,0.0021223568
personal finances,0.002116913
impeachment united,0.0021144452
constitution,0.0021128384
released,0.0021101574
downloads,0.0021052249
recordings downloads,0.0021052249
downloads streaming,0.0021052249
recordings,0.0021052249
bolton,0.0021051322
countries,0.0021017427
customs,0.0020999894
acute respiratory,0.00209985
acute,0.00209985
severe acute,0.00209985
living,0.0020982183
programs,0.0020956846
factories,0.0020914888
espionage,0.0020903563
longer,0.002087439
mobile,0.002086191
watch,0.0020855404
meeting,0.0020833123
corporate,0.002081115
corruption institutional,0.0020753625
species,0.0020745585
children childhood,0.0020734065
coronavirus epidemics,0.0020659328
battle,0.0020611205
sites,0.0020594946
interference,0.0020564008
hackers,0.0020543814
things,0.0020528631
drugs,0.0020492447
endorsements,0.0020484955
literature,0.002045545
books literature,0.002045545
comes,0.002043797
press,0.0020409767
response,0.0020404635
doctors,0.0020394
inside,0.0020367014
floods,0.0020344977
verdicts,0.0020327007
decisions verdicts,0.0020327007
dozens,0.0020307351
speech,0.0020297766
student,0.0020275733
planning,0.0020233311
evacuees,0.0020225553
evidence,0.0020210973
election debates,0.002020726
restaurants,0.0020118775
parenting,0.0020118305
michael,0.0020109192
hotels,0.0020062907
gasoline,0.0020056767
ended,0.0020030022
french,0.001999724
pelosi,0.0019990725
nearly,0.0019963067
factories manufacturing,0.0019955281
texas,0.0019940292
return,0.0019936382
caucuses united,0.0019892782
congress,0.0019826724
break,0.0019809806
protection,0.0019794633
college,0.0019775701
japan,0.0019720332
faces,0.0019699628
brain,0.0019697822
marine,0.0019691712
remains,0.0019678033
buttigieg,0.0019676008
september,0.0019673018
science,0.0019635959
climate change,0.0019633037
march,0.0019618173
crime,0.0019616492
elections trump,0.0019590252
interference elections,0.0019590252
russian interference,0.0019590252
trump associates,0.0019590252
supreme court,0.0019569062
skiing,0.00195503
winter,0.0019549115
carlos,0.0019530625
jersey,0.0019398468
schools,0.0019372172
governor,0.00193603
escape,0.0019356963
january,0.001934685
bryant,0.0019277988
county,0.0019218939
tests,0.001917798
ghosn,0.001917178
union,0.0019166697
video recordings,0.0019154662
leave,0.0019113743
effort,0.0019083272
india,0.0019083025
military bases,0.0019069358
month,0.0019058122
evacuations,0.0019039904
worth,0.0019037062
infrastructure,0.0019015938
president impeachment,0.0018994584
british,0.001898825
growth,0.0018983656
embassies consulates,0.0018964622
diplomatic service,0.0018964622
service embassies,0.0018964622
consulates,0.0018964622
iranian general,0.0018871303
democratic presidential,0.0018794496
rumors misinformation,0.0018768209
misinformation,0.0018768209
rumors,0.0018768209
rising,0.0018759437
supporters,0.0018748
protect,0.0018660896
heart,0.0018645327
water,0.0018615914
outside,0.0018593937
qassim,0.0018588325
prisoners,0.001856008
travel warnings,0.0018531025
including,0.00184923
parliaments,0.0018477093
legislatures parliaments,0.0018477093
exercise,0.0018447363
smartphones,0.0018437118
transit systems,0.001843006
light,0.0018421343
leasing estate,0.0018408477
renting leasing,0.0018408477
renting,0.0018408477
leasing,0.0018408477
apple,0.0018400694
teenagers,0.0018383503
member,0.001837335
government presidential,0.0018371596
viruses,0.0018308025
evacuations evacuees,0.0018172004
state legislatures,0.0018146341
ahead,0.0018146128
action,0.0018140351
raised,0.0018138237
language,0.0018109668
meghan,0.0018105289
phone,0.0018099522
using,0.0018080056
petroleum,0.001805452
petroleum gasoline,0.001805452
cyberwarfare,0.0018034138
puerto,0.0018009605
remain,0.0017953159
traffic accidents,0.001795194
trump administration,0.0017948756
shootings,0.0017922573
limits,0.0017888646
suicide,0.0017887047
intelligence services,0.0017878899
espionage intelligence,0.0017878899
prime,0.0017865374
millions,0.0017861419
critics,0.0017848533
threat,0.0017767883
season,0.0017705497
drugs pharmaceuticals,0.0017676265
pharmaceuticals,0.0017676265
tensions,0.0017666438
drones,0.0017666142
tariff,0.0017631775
electric,0.001759824
animals,0.0017580878
research yourfeedscience,0.001756836
stores,0.0017551131
design,0.0017548653
adviser,0.0017537721
installations,0.0017509416
strategy,0.0017468937
looking,0.0017428666
nutrition,0.0017415087
saudi,0.0017413752
beijing,0.0017406568
killings united,0.0017383472
organized,0.001737637
cyberwarfare defense,0.0017341467
judaism,0.0017333962
avoid,0.0017331322
cyberattacks,0.0017309913
talks,0.0017306391
strikes,0.0017305642
devices,0.0017274553
warns,0.0017269445
agreement,0.0017262893
energy,0.0017254193
lodgings,0.0017225303
travel lodgings,0.0017225303
hotels travel,0.0017225303
force,0.0017176497
ready,0.0017166971
extradition,0.0017164096
built,0.0017163347
harry meghan,0.0017147947
pompeo,0.0017143508
tried,0.0017136158
works,0.001712635
tehran,0.0017095516
hospital,0.0017093924
wednesday,0.001709184
father,0.0016998776
prime minister,0.0016960404
agency,0.0016896552
rivals,0.0016894443
connecticut,0.0016893678
facing,0.0016873538
calls,0.0016864265
harvey,0.0016864033
bases installations,0.001680016
computer security,0.0016798604
culture,0.0016793975
happened,0.001678273
thursday,0.0016780602
start,0.0016733275
begin,0.0016706522
storm,0.0016706123
false,0.0016700594
roads,0.001665775
paying,0.0016600448
tuesday,0.0016589405
forum,0.0016582839
florida,0.0016576152
weapons,0.0016569284
guide,0.0016548521
communications,0.0016497462
station,0.0016497351
diseases,0.0016495731
quarter,0.0016495482
streets,0.0016472576
search,0.0016448875
lower,0.001642231
agriculture,0.0016409656
qassim suleimani,0.001639273
welfare,0.0016355073
affordable,0.0016339669
proposal,0.0016334192
company reports,0.0016333184
properties,0.001632866
america,0.0016315925
secret,0.0016304344
offer,0.001626365
cyberattacks hackers,0.0016261322
offers,0.0016245778
options,0.0016183009
right,0.0016159359
representative,0.0016153539
popular,0.0016141285
customs tariff,0.001612969
working,0.0016126197
responsibility,0.0016117882
estate commercial,0.0016116288
friday,0.0016109332
fired,0.0016101396
disease,0.0016095508
trump impeachment,0.0016052274
missiles,0.0016046398
workplace environment,0.0016038456
morning,0.0016037772
amazon,0.0016018897
neglect,0.0016010335
child abuse,0.0016010335
abuse neglect,0.0016010335
hurricane,0.0016004872
homeless,0.0016004494
applications,0.0015975991
damage,0.00159745
issues,0.0015973888
university,0.0015969067
planes,0.0015938468
lines,0.0015887532
places,0.0015865649
africa,0.0015857478
treatment,0.0015846058
suspect,0.0015836757
coast,0.0015826909
board,0.0015812557
surveillance,0.0015780088
impeachment managers,0.0015771473
proposed,0.0015771204
trafficking,0.0015765491
worry,0.0015763458
expected,0.0015753853
europe,0.0015723234
courts,0.0015722156
seeking,0.0015706391
process,0.0015689704
leaving,0.0015664019
mysterious,0.0015661507
guilty,0.0015642414
stock,0.0015631501
population,0.0015629899
driving,0.0015616029
national security,0.0015572555
investors,0.0015572024
airports,0.0015531805
forces targeted,0.0015530837
seven,0.0015527667
anger,0.0015513164
muslims,0.0015485861
advertising marketing,0.0015438936
potential,0.0015427105
reported,0.0015421421
france,0.0015406384
government defense,0.0015398844
rights violations,0.0015394781
rights human,0.0015394781
diary,0.0015381891
commander,0.0015379527
ethics,0.0015373292
mobile applications,0.0015371692
visit,0.0015353088
account,0.0015344396
decade,0.0015341631
bankruptcies,0.0015333296
inquiry presidential,0.0015265767
report,0.0015258386
messages,0.0015251904
stage,0.0015251462
medicine health,0.0015237802
primary,0.001516355
coming,0.0015155599
volcanoes,0.001513374
behavior,0.0015131203
turned,0.0015128781
andrew,0.0015118207
announced,0.0015110364
opening,0.001507932
natural,0.0015079037
taken,0.0015071124
showed,0.0015060791
managed,0.0015053933
anxiety,0.001504937
policies,0.0015033177
decades,0.0015012397
turkey,0.0015006653
special,0.0015003802
flying,0.0015002335
kills,0.0014947571
access,0.0014919799
blood,0.0014899203
philanthropy,0.0014886031
individuals,0.0014855213
pollution,0.001485405
employees,0.001484317
warning,0.0014820944
weight,0.0014785914
hopes,0.0014781202
impact,0.001476514
conservative,0.0014716259
names,0.001470723
recently,0.0014697188
large,0.0014681863
games,0.0014677318
career,0.0014674093
images,0.0014660478
ethics official,0.0014657483
official misconduct,0.0014657483
software,0.0014647692
really,0.0014633465
conflict,0.0014611743
lawsuit,0.0014601509
percent,0.0014591432
health insurance,0.0014582248
question,0.0014573148
secrets,0.0014556452
parents,0.0014544135
island,0.0014525166
setting,0.0014521588
sides,0.001451043
possible,0.0014484555
issue,0.0014466012
products,0.0014465554
getting,0.0014464244
coronavirus outbreak,0.0014454665
newspapers,0.0014452144
house impeachment,0.0014448203
passenger,0.001443281
huawei,0.0014422919
farming,0.0014412957
sports,0.0014401347
economic forum,0.0014397921
consumer,0.001439554
biology,0.00143812
struggling,0.0014380005
begins,0.0014353903
respiratory diseases,0.0014308995
clinton,0.0014301776
daughter,0.0014287563
criticism,0.0014265957
church,0.0014259197
citizens,0.0014258589
cultural,0.0014257506
attention,0.0014250601
carlos ghosn,0.0014242444
unlikely,0.0014208108
wanted,0.0014184973
close,0.0014183845
stars,0.0014179733
music,0.0014179489
technology,0.0014162137
salaries,0.0014135716
appeal,0.0014122481
injured,0.0014097786
missing persons,0.0014095587
currency,0.0014091549
infrastructure public,0.001408352
public works,0.001408352
birth,0.0014072645
inequality,0.0014065445
message,0.0014061007
records,0.0014045084
votes,0.001401961
index,0.0014008076
virginia,0.0013977045
powerful,0.0013973598
subways,0.0013972443
drones pilotless,0.0013970627
pilotless planes,0.0013970627
pilotless,0.0013970627
leading,0.0013969714
allegations,0.0013961558
testify,0.0013934309
emergency powers,0.001392599
independent,0.0013892271
clear,0.001385913
threats,0.0013822016
materials,0.0013808894
hundreds,0.0013761412
profit,0.0013742471
build,0.0013728896
waste,0.001372191
airport,0.0013720955
asked,0.0013717144
hotel,0.0013716721
short,0.0013709137
nuclear weapons,0.0013687758
protest,0.0013677638
ground,0.0013638496
speaker,0.0013634312
loans,0.0013631085
series,0.0013607081
elderly,0.0013600778
competition,0.0013600583
numbers,0.0013564113
agriculture farming,0.0013554062
manager,0.0013549505
awards,0.0013548037
businesses,0.0013545622
failed,0.0013539806
worst,0.001353952
ecigarettes,0.0013529405
highlights,0.0013511974
humanity,0.0013498503
risks,0.0013490944
assaults,0.0013485225
issued,0.0013478888
strong,0.0013467793
moved,0.0013465383
officers,0.0013459653
pregnancy,0.0013449409
illegal,0.001344462
holocaust,0.001341428
order,0.0013402451
hands,0.0013397669
annual,0.0013392695
israel,0.0013382874
helicopters,0.0013372103
economics,0.001335667
movements,0.0013339308
different,0.0013332018
finds,0.0013314498
today,0.001331404
organizations,0.001330991
worth individuals,0.0013304062
mother,0.0013291701
warming environment,0.0013280051
allowed,0.0013261007
quarantines,0.0013252314
earthquake,0.0013233826
worse,0.0013222087
standard,0.0013219428
helped,0.0013216679
transportation,0.0013209297
wages,0.0013206
wages salaries,0.0013206
depression,0.0013193544
documents,0.0013175705
oceans,0.0013146641
organized labor,0.0013133511
enforcement,0.0013109653
refugees,0.0013089866
remarks,0.0013080047
pensions,0.0013067859
beach,0.0013058969
poverty,0.0013058461
moment,0.0013057285
chief justice,0.0013044452
block,0.0013025376
wealthy,0.001300487
benefits,0.0012986922
wealth,0.001297398
story,0.0012962403
struck,0.0012955986
safety concerns,0.0012935239
street,0.0012912478
facial,0.001289263
embrace,0.0012866445
wireless,0.0012846914
genocide,0.0012842765
forced,0.0012837121
museums,0.001283586
libya,0.0012821278
netanyahu,0.0012815474
government elections,0.0012796291
super,0.0012765515
insurance managed,0.0012755203
retirement plans,0.0012754272
artificial intelligence,0.0012747445
artificial,0.0012747445
patient,0.001269592
provide,0.0012682881
generation,0.0012653337
helicopter,0.0012646832
spreads,0.0012645378
european union,0.0012643072
named,0.0012634433
signs,0.0012626713
germany,0.0012625882
hunting,0.0012617473
metropolitan,0.0012604726
thing,0.0012572946
income,0.0012557385
torture,0.0012538368
commodities,0.0012529697
commodities violations,0.0012529697
securities commodities,0.0012529697
securities,0.0012529697
tourists,0.0012524875
mexico,0.0012521564
patients,0.0012516307
favorite,0.0012486625
greater,0.00124817
practices,0.0012476657
attacked,0.0012455342
birds,0.0012438821
censorship,0.0012419666
welcome,0.0012369885
dozen,0.0012346304
restoration,0.001231807
later,0.0012296104
mental,0.0012293134
passengers,0.0012292324
restrictions,0.0012288507
crimes genocide,0.0012276119
crimes humanity,0.0012276119
genocide crimes,0.0012276119
calling,0.0012274763
plane crash,0.0012273615
fourth,0.0012272531
election political,0.001225926
digital,0.0012253674
federal taxes,0.0012240814
property,0.0012239004
apologizes,0.0012226157
results,0.0012211758
older,0.0012207027
officer,0.0012196926
accounts,0.0012196617
moments,0.0012195467
split,0.0012153309
domestic,0.0012139899
appears,0.0012126142
friends,0.0012118143
harvey weinstein,0.0012116996
makes,0.0012108356
election impeachment,0.0012076354
researchers,0.0012067123
final,0.0012062847
increasingly,0.0012053163
gender,0.0012051621
tells,0.0012047489
human trafficking,0.0012026463
trading,0.0012022404
pensions retirement,0.0012012763
lawyer,0.0012003466
uncertainty,0.0012002357
attempts,0.0011992154
expect,0.0011969003
worked,0.0011955678
humanitarian,0.0011939605
smoking,0.0011938782
charge,0.0011931431
unemployment,0.0011920374
continue,0.0011919133
theory,0.0011891776
parties,0.0011877284
trial trumpukraine,0.0011876121
executives,0.0011863703
taliban,0.0011858908
claimed,0.0011847155
offered,0.0011836268
orders,0.001182147
pentagon,0.0011816676
tobacco,0.001181383
include,0.0011810648
ukrainian,0.0011801323
waste materials,0.0011787509
russia,0.0011775629
historic,0.0011774163
boeing groundings,0.0011763987
groundings,0.0011763987
groundings safety,0.0011763987
hollywood,0.0011755357
cards,0.0011752559
mayors,0.0011752096
wireless communications,0.0011723614
testimony,0.0011718591
confirmed,0.0011709393
facial recognition,0.0011700303
recognition,0.0011700303
actors,0.0011699396
forces military,0.0011692545
korea,0.0011668117
palestinians,0.0011665662
antisemitic,0.0011648792
disabilities,0.0011603677
arrest,0.0011590278
reporter,0.0011584674
happen,0.0011557819
toxic,0.0011532258
dying,0.0011530012
nursing,0.0011528534
prisons,0.0011516408
seeks,0.0011515411
brought,0.0011515042
sexually,0.0011513706
minorities,0.0011510336
poors,0.0011509431
poors index,0.0011509431
standard poors,0.0011509431
prostate,0.0011499932
district,0.0011484178
putin,0.0011470126
important,0.0011441886
security adviser,0.0011435818
religious,0.0011432943
reporters,0.0011431401
abortion,0.0011431229
increase,0.0011429269
nancy,0.0011424954
nancy pelosi,0.0011424954
banks,0.0011421727
helping,0.0011421035
dispute,0.0011404919
travelers,0.0011375507
majority,0.0011366727
consider,0.0011354638
traveling,0.0011351244
political primaries,0.0011350742
bisexuality,0.0011340542
homosexuality bisexuality,0.0011340542
homosexuality,0.0011340542
prosecutor,0.0011327266
twitter,0.0011313062
nightclubs,0.0011293213
fashion,0.0011285867
continues,0.0011283635
inflation,0.0011281508
heritage,0.0011270449
faced,0.0011248252
presidency,0.0011233105
divided,0.0011227308
genetics,0.0011223719
italy,0.0011220092
village,0.0011212882
green,0.0011212089
gentrification,0.0011210134
returned,0.0011202019
calif,0.0011196863
residential renting,0.0011186337
settlement,0.0011186235
ecommerce,0.001117922
according,0.0011173752
afghan,0.0011170104
muslim,0.001115334
luxury,0.0011150128
arrested,0.0011148633
resources,0.0011143638
interview,0.0011137417
movie,0.0011128213
roads traffic,0.0011124227
interior,0.0011103458
migrant,0.0011102449
citizenship,0.0011095783
mideast,0.0011094544
needed,0.001109349
impeachment manager,0.001107153
investigating,0.0011070698
holiday,0.0011066836
giving,0.0011064206
person,0.00110565
drivers,0.0011047138
place,0.0011043666
thought,0.0011041034
saturday,0.001103248
considered,0.0011030517
hudson,0.0011023957
think,0.001102351
families family,0.0011011385
evangelical,0.0010998932
surge,0.0010996661
baghdad,0.0010995193
urban,0.0010992528
spent,0.0010990627
earlier,0.0010990519
southern,0.0010984319
parliament,0.0010967061
challenge,0.0010964966
volcano,0.0010953505
bankruptcy,0.0010950794
elite,0.0010941661
ambassador,0.0010935063
football,0.0010921371
prominent,0.0010919729
muslims islam,0.0010912154
islam,0.0010912154
target,0.0010909293
frauds swindling,0.0010894878
frauds,0.0010894878
swindling,0.0010894878
costs,0.0010887898
world economic,0.0010884377
medicaid,0.0010880434
illness,0.0010869675
abroad,0.0010853157
religion,0.0010852839
chain,0.0010851701
needs,0.0010850185
criminal justice,0.0010848541
lebanon,0.001081815
armed,0.001081488
spends,0.0010793174
renovation,0.0010791399
restoration renovation,0.0010791399
mutual funds,0.0010781996
mutual,0.0010781996
government legislatures,0.0010775236
mixed,0.0010759337
threatens,0.0010737801
israeli,0.0010731164
antitrust,0.001073078
illegal immigration,0.0010716919
brutality,0.001071209
police brutality,0.001071209
brutality misconduct,0.001071209
misconduct shootings,0.001071209
problems,0.0010688019
flights,0.001068314
pennsylvania,0.0010681631
ethnic,0.001068148
carolina,0.0010671321
misleading,0.0010671283
vaccination,0.0010666031
judiciary,0.0010659589
limit,0.0010644319
changed,0.0010639491
mcconnell,0.0010623996
neighborhood,0.0010621155
schiff,0.0010608707
field,0.0010603105
sanders elizabeth,0.0010600487
training,0.0010590779
ruled,0.0010582763
sentenced,0.0010577792
raise,0.0010574925
groups movements,0.0010569848
fringe groups,0.0010569848
fringe,0.0010569848
actresses,0.0010566215
actors actresses,0.0010566215
masks,0.0010566124
rural,0.0010559525
losing,0.0010556806
raising,0.0010555859
shape,0.0010553432
paper,0.001054858
smuggling,0.0010545978
crimes sexual,0.0010543609
effect,0.0010533651
protesters,0.0010524669
color,0.0010523531
nations,0.0010523307
reelection,0.0010508866
victory,0.0010505903
surgery,0.0010504001
investigators,0.0010498365
prince harry,0.0010477277
spending,0.0010473898
caused,0.0010453993
arrests,0.0010452248
representatives,0.0010451799
network,0.001044658
psychology,0.0010442832
articles,0.001043267
adolescence,0.0010422257
teenagers adolescence,0.0010422257
brexit politics,0.0010416608
planet,0.0010415949
plant,0.0010403018
workplace hazards,0.0010400628
hazards violations,0.0010400628
hazards,0.0010400628
apartment,0.0010396189
